,id,cast,director
165,607,"['Tommy Lee Jones', 'Will Smith', 'Linda Fiorentino']",['Barry Sonnenfeld']
166,137113,"['Tom Cruise', 'Emily Blunt', 'Bill Paxton']",['Doug Liman']
167,1271,"['Gerard Butler', 'Lena Headey', 'Dominic West']",['Zack Snyder']
168,353486,"['Dwayne Johnson', 'Kevin Hart', 'Jack Black']",['Jake Kasdan']
169,78,"['Harrison Ford', 'Rutger Hauer', 'Sean Young']",['Ridley Scott']
170,1895,"['Hayden Christensen', 'Ewan McGregor', 'Natalie Portman']",['George Lucas']
171,324786,"['Andrew Garfield', 'Sam Worthington', 'Vince Vaughn']",['Mel Gibson']
172,8966,"['Kristen Stewart', 'Robert Pattinson', 'Billy Burke']",['Catherine Hardwicke']
173,62177,"['Kelly Macdonald', 'Emma Thompson', 'Billy Connolly']","['Brenda Chapman', 'Mark Andrews']"
174,363088,"['Paul Rudd', 'Evangeline Lilly', 'Michael Peña']",['Peyton Reed']
175,102651,"['Angelina Jolie', 'Elle Fanning', 'Imelda Staunton']",['Robert Stromberg']
176,274870,"['Jennifer Lawrence', 'Chris Pratt', 'Michael Sheen']",['Morten Tyldum']
177,87827,"['Suraj Sharma', 'Irrfan Khan', 'Ayush Tandon']",['Ang Lee']
178,264660,"['Domhnall Gleeson', 'Alicia Vikander', 'Oscar Isaac']",['Alex Garland']
179,102382,"['Andrew Garfield', 'Emma Stone', 'Jamie Foxx']",['Marc Webb']
180,335984,"['Ryan Gosling', 'Harrison Ford', 'Sylvia Hoeks']",['Denis Villeneuve']
181,425,"['Ray Romano', 'John Leguizamo', 'Denis Leary']",['Chris Wedge']
182,1894,"['Hayden Christensen', 'Ewan McGregor', 'Natalie Portman']",['George Lucas']
183,141052,"['Ben Affleck', 'Henry Cavill', 'Amy Adams']","['Zack Snyder', 'Joss Whedon']"
184,57158,"['Ian McKellen', 'Martin Freeman', 'Richard Armitage']",['Peter Jackson']
185,466272,"['Leonardo DiCaprio', 'Brad Pitt', 'Margot Robbie']",['Quentin Tarantino']
186,637,"['Roberto Benigni', 'Nicoletta Braschi', 'Giorgio Cantarini']",['Roberto Benigni']
187,246655,"['James McAvoy', 'Michael Fassbender', 'Oscar Isaac']",['Bryan Singer']
188,194662,"['Michael Keaton', 'Emma Stone', 'Zach Galifianakis']",['Alejandro González Iñárritu']
189,157350,"['Shailene Woodley', 'Theo James', 'Zoë Kravitz']",['Neil Burger']
190,190859,"['Bradley Cooper', 'Sienna Miller', 'Kyle Gallner']",['Clint Eastwood']
191,10191,"['Jay Baruchel', 'Gerard Butler', 'Craig Ferguson']","['Dean DeBlois', 'Chris Sanders']"
